Source Name	Material Type	Characteristics[Organism]	Characteristics[CellLine]	Characteristics[DiseaseState]	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[CELL_LINE]
DB	cell	Homo sapiens	DB	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 161	P-MTAB-22739	Labeled Extract 161	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 161	A-AFFY-113	5500024031722092907496.F08.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	DB
DBTRG-05MG	cell	Homo sapiens	DBTRG-05MG	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 162	P-MTAB-22739	Labeled Extract 162	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 162	A-AFFY-113	5500024031722092907496.A03.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	DBTRG-05MG
DEL	cell	Homo sapiens	DEL	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 163	P-MTAB-22739	Labeled Extract 163	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 163	A-AFFY-113	5500024030401071707289.H06.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	DEL
Detroit562	cell	Homo sapiens	Detroit562	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 164	P-MTAB-22739	Labeled Extract 164	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 164	A-AFFY-113	5500024031722092907496.H02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	Detroit562
DG-75	cell	Homo sapiens	DG-75	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 165	P-MTAB-22739	Labeled Extract 165	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 165	A-AFFY-113	5500024031722092907496.D02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	DG-75
DJM-1	cell	Homo sapiens	DJM-1	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 166	P-MTAB-22739	Labeled Extract 166	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 166	A-AFFY-113	5500024052603032009483.H04.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	DJM-1
DK-MG	cell	Homo sapiens	DK-MG	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 167	P-MTAB-22739	Labeled Extract 167	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 167	A-AFFY-113	5500024052861011409506.G08.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	DK-MG
DMS-114	cell	Homo sapiens	DMS-114	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 168	P-MTAB-22739	Labeled Extract 168	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 168	A-AFFY-113	5500024032848101507998.E07.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	DMS-114
DMS-114	cell	Homo sapiens	DMS-114	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 169	P-MTAB-22739	Labeled Extract 169	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 169	A-AFFY-113	5500024052861011409506.H11.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	DMS-114
DMS-153	cell	Homo sapiens	DMS-153	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 170	P-MTAB-22739	Labeled Extract 170	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 170	A-AFFY-113	5500024052603032009483.B04.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	DMS-153
DMS-273	cell	Homo sapiens	DMS-273	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 171	P-MTAB-22739	Labeled Extract 171	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 171	A-AFFY-113	5500024035100021608461.D12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	DMS-273
DMS-53	cell	Homo sapiens	DMS-53	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 172	P-MTAB-22739	Labeled Extract 172	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 172	A-AFFY-113	5500024030401071707289.H02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	DMS-53
DMS-79	cell	Homo sapiens	DMS-79	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 173	P-MTAB-22739	Labeled Extract 173	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 173	A-AFFY-113	5500024030401071707289.H03.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	DMS-79
DOHH-2	cell	Homo sapiens	DOHH-2	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 174	P-MTAB-22739	Labeled Extract 174	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 174	A-AFFY-113	5500024035100021608461.G09.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	DOHH-2
DOK	cell	Homo sapiens	DOK	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 175	P-MTAB-22739	Labeled Extract 175	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 175	A-AFFY-113	5500024034290101707049.D05.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	DOK
DoTc2-4510	cell	Homo sapiens	DoTc2-4510	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 176	P-MTAB-22739	Labeled Extract 176	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 176	A-AFFY-113	5500024034290101707049.E05.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	DoTc2-4510
DSH1	cell	Homo sapiens	DSH1	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 177	P-MTAB-22739	Labeled Extract 177	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 177	A-AFFY-113	5500024030401071707289.E12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	DSH1
DU-145	cell	Homo sapiens	DU-145	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 178	P-MTAB-22739	Labeled Extract 178	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 178	A-AFFY-113	5500024052861011409506.D02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	DU-145
DU-4475	cell	Homo sapiens	DU-4475	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 179	P-MTAB-22739	Labeled Extract 179	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 179	A-AFFY-113	5500024030401071707289.A09.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	DU-4475
DU-4475	cell	Homo sapiens	DU-4475	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 180	P-MTAB-22739	Labeled Extract 180	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 180	A-AFFY-113	5500024052861011409506.A12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	DU-4475
DV-90	cell	Homo sapiens	DV-90	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 181	P-MTAB-22739	Labeled Extract 181	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 181	A-AFFY-113	5500024031722092907496.D03.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	DV-90
EB2	cell	Homo sapiens	EB2	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 182	P-MTAB-22739	Labeled Extract 182	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 182	A-AFFY-113	5500024030401071707289.F12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	EB2
EB-3	cell	Homo sapiens	EB-3	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 183	P-MTAB-22739	Labeled Extract 183	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 183	A-AFFY-113	5500024031722092907496.C03.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	EB-3
ECC12	cell	Homo sapiens	ECC12	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 184	P-MTAB-22739	Labeled Extract 184	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 184	A-AFFY-113	5500024034290101707049.F05.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	ECC12
ECC4	cell	Homo sapiens	ECC4	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 185	P-MTAB-22739	Labeled Extract 185	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 185	A-AFFY-113	5500024031722092907496.E08.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	ECC4
EC-GI-10	cell	Homo sapiens	EC-GI-10	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 186	P-MTAB-22739	Labeled Extract 186	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 186	A-AFFY-113	5500024031722092907496.F02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	EC-GI-10
EFM-19	cell	Homo sapiens	EFM-19	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 187	P-MTAB-22739	Labeled Extract 187	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 187	A-AFFY-113	5500024032848101507000.E08.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	EFM-19
EFO-21	cell	Homo sapiens	EFO-21	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 188	P-MTAB-22739	Labeled Extract 188	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 188	A-AFFY-113	5500024030401071707289.G10.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	EFO-21
EFO-27	cell	Homo sapiens	EFO-27	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 189	P-MTAB-22739	Labeled Extract 189	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 189	A-AFFY-113	5500024030401071707289.H04.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	EFO-27
EGI-1	cell	Homo sapiens	EGI-1	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 190	P-MTAB-22739	Labeled Extract 190	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 190	A-AFFY-113	5500024031722092907496.D01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	EGI-1
EHEB	cell	Homo sapiens	EHEB	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 191	P-MTAB-22739	Labeled Extract 191	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 191	A-AFFY-113	5500024052603032009483.F04.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	EHEB
EKVX	cell	Homo sapiens	EKVX	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 192	P-MTAB-22739	Labeled Extract 192	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 192	A-AFFY-113	5500024052603032009483.H02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	EKVX
EKVX	cell	Homo sapiens	EKVX	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 193	P-MTAB-22739	Labeled Extract 193	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 193	A-AFFY-113	5500024052861011409506.H10.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.2.zip	EKVX
EM-2	cell	Homo sapiens	EM-2	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 194	P-MTAB-22739	Labeled Extract 194	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 194	A-AFFY-113	5500024031722092907496.C02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	EM-2
EoL-1-cell	cell	Homo sapiens	EoL-1-cell	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 195	P-MTAB-22739	Labeled Extract 195	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 195	A-AFFY-113	5500024052603032009483.G02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	EoL-1-cell
EoL-1-cell	cell	Homo sapiens	EoL-1-cell	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 196	P-MTAB-22739	Labeled Extract 196	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 196	A-AFFY-113	5500024052861011409506.F10.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	EoL-1-cell
EPLC-272H	cell	Homo sapiens	EPLC-272H	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 197	P-MTAB-22739	Labeled Extract 197	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 197	A-AFFY-113	5500024052603032009483.F05.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	EPLC-272H
ES1	cell	Homo sapiens	ES1	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 198	P-MTAB-22739	Labeled Extract 198	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 198	A-AFFY-113	5500024034290101707049.H05.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	ES1
ES3	cell	Homo sapiens	ES3	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 199	P-MTAB-22739	Labeled Extract 199	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 199	A-AFFY-113	5500024034290101707049.A06.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	ES3
ES5	cell	Homo sapiens	ES5	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 200	P-MTAB-22739	Labeled Extract 200	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 200	A-AFFY-113	5500024034290101707049.C06.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	ES5
ES6	cell	Homo sapiens	ES6	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 201	P-MTAB-22739	Labeled Extract 201	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 201	A-AFFY-113	5500024034290101707049.D06.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	ES6
ES7	cell	Homo sapiens	ES7	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 202	P-MTAB-22739	Labeled Extract 202	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 202	A-AFFY-113	5500024034290101707049.E06.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	ES7
ES8	cell	Homo sapiens	ES8	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 203	P-MTAB-22739	Labeled Extract 203	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 203	A-AFFY-113	5500024034290101707049.F06.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	ES8
ESS-1	cell	Homo sapiens	ESS-1	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 204	P-MTAB-22739	Labeled Extract 204	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 204	A-AFFY-113	5500024030401071707289.F11.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	ESS-1
ETK-1	cell	Homo sapiens	ETK-1	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 205	P-MTAB-22739	Labeled Extract 205	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 205	A-AFFY-113	5500024031722092907496.B03.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	ETK-1
EVSA-T	cell	Homo sapiens	EVSA-T	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 206	P-MTAB-22739	Labeled Extract 206	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 206	A-AFFY-113	5500024032848101507000.B01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	EVSA-T
EW-1	cell	Homo sapiens	EW-1	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 207	P-MTAB-22739	Labeled Extract 207	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 207	A-AFFY-113	5500024034290101707049.G06.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	EW-1
EW-11	cell	Homo sapiens	EW-11	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 208	P-MTAB-22739	Labeled Extract 208	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 208	A-AFFY-113	5500024034290101707049.H06.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	EW-11
EW-12	cell	Homo sapiens	EW-12	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 209	P-MTAB-22739	Labeled Extract 209	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 209	A-AFFY-113	5500024035100021608461.H07.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	EW-12
EW-13	cell	Homo sapiens	EW-13	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 210	P-MTAB-22739	Labeled Extract 210	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 210	A-AFFY-113	5500024034290101707049.A07.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	EW-13
EW-16	cell	Homo sapiens	EW-16	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 211	P-MTAB-22739	Labeled Extract 211	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 211	A-AFFY-113	5500024035100021608461.C07.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	EW-16
EW-18	cell	Homo sapiens	EW-18	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 212	P-MTAB-22739	Labeled Extract 212	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 212	A-AFFY-113	5500024035100021608461.H06.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	EW-18
EW-22	cell	Homo sapiens	EW-22	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 213	P-MTAB-22739	Labeled Extract 213	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 213	A-AFFY-113	5500024035100021608461.G06.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	EW-22
EW-24	cell	Homo sapiens	EW-24	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 214	P-MTAB-22739	Labeled Extract 214	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 214	A-AFFY-113	5500024035100021608461.A07.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	EW-24
EW-3	cell	Homo sapiens	EW-3	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 215	P-MTAB-22739	Labeled Extract 215	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 215	A-AFFY-113	5500024035100021608461.F07.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	EW-3
EW-3	cell	Homo sapiens	EW-3	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 216	P-MTAB-22739	Labeled Extract 216	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 216	A-AFFY-113	5500024052603032009483.G10.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	EW-3
EW-7	cell	Homo sapiens	EW-7	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 217	P-MTAB-22739	Labeled Extract 217	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 217	A-AFFY-113	5500024034290101707049.B07.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	EW-7
FADU	cell	Homo sapiens	FADU	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 218	P-MTAB-22739	Labeled Extract 218	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 218	A-AFFY-113	5500024032848101507000.F08.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	FADU
FTC-133	cell	Homo sapiens	FTC-133	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 219	P-MTAB-22739	Labeled Extract 219	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 219	A-AFFY-113	5500024030401071707289.G02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	FTC-133
G-361	cell	Homo sapiens	G-361	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 220	P-MTAB-22739	Labeled Extract 220	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 220	A-AFFY-113	5500024052861011409506.A07.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	G-361
G-401	cell	Homo sapiens	G-401	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 221	P-MTAB-22739	Labeled Extract 221	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 221	A-AFFY-113	5500024031722092907496.G02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	G-401
GA-10-Clone-20	cell	Homo sapiens	GA-10-Clone-20	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 222	P-MTAB-22739	Labeled Extract 222	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 222	A-AFFY-113	5500024034290101707049.D07.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	GA-10-Clone-20
GA-10-Clone-4	cell	Homo sapiens	GA-10-Clone-4	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 223	P-MTAB-22739	Labeled Extract 223	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 223	A-AFFY-113	5500024031722092907496.E02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	GA-10-Clone-4
GAK	cell	Homo sapiens	GAK	cancer	P-MTAB-22737	P-MTAB-22738	RNA Extract 224	P-MTAB-22739	Labeled Extract 224	biotin	Affymetrix:Protocol:Hybridization-Unknown 	ArrayExpress	Hybridization 224	A-AFFY-113	5500024032848101507998.F07.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-783/E-MTAB-783.raw.3.zip	GAK
